fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;great
08.авг;0.4;0.4;02.фев;0.079;19;52;0.998;мар.44;0.64;09.фев;5;0
07.июл;0.69;0.49;01.авг;0.115;20;112;0.9968;мар.21;0.71;09.мар;5;0
07.май;0.52;0.16;01.сен;0.085;12;35;0.9968;мар.38;0.62;09.май;7;1
7;0.735;0.05;2;0.081;13;54;0.9966;мар.39;0.57;09.авг;5;0
07.фев;0.725;0.05;апр.65;0.086;4;11;0.9962;мар.41;0.39;10.сен;5;0
07.фев;0.725;0.05;апр.65;0.086;4;11;0.9962;мар.41;0.39;10.сен;5;0
07.май;0.52;0.11;01.май;0.079;11;39;0.9968;мар.42;0.58;09.июн;5;0
06.июн;0.705;0.07;01.июн;0.076;6;15;0.9962;мар.44;0.58;10.июл;5;0
09.мар;0.32;0.57;2;0.074;27;65;0.9969;мар.28;0.79;10.июл;5;0
8;0.705;0.05;01.сен;0.074;8;19;0.9962;мар.34;0.95;10.май;6;1
07.июл;0.63;0.08;01.сен;0.076;15;27;0.9967;мар.32;0.54;09.май;6;1
07.июл;0.67;0.23;02.янв;0.088;17;96;0.9962;мар.32;0.48;09.май;5;0
07.июл;0.69;0.22;01.сен;0.084;18;94;0.9961;мар.31;0.48;09.май;5;0
08.мар;0.675;0.26;02.янв;0.084;11;43;0.9976;мар.31;0.53;09.фев;4;0
09.июл;0.32;0.54;02.май;0.094;28;83;0.9984;мар.28;0.82;09.июн;5;0
08.авг;0.41;0.64;02.фев;0.093;9;42;0.9986;мар.54;0.66;10.май;5;0
08.авг;0.41;0.64;02.фев;0.093;9;42;0.9986;мар.54;0.66;10.май;5;0
06.авг;0.785;0;02.апр;0.104;14;30;0.9966;мар.52;0.55;10.июл;6;1
06.июл;0.75;0.12;2;0.086;12;80;0.9958;мар.38;0.52;10.янв;5;0
08.мар;0.625;0.2;01.май;0.08;27;119;0.9972;мар.16;01.дек;09.янв;4;0
06.фев;0.45;0.2;01.июн;0.069;3;15;0.9958;мар.41;0.56;09.фев;5;0
07.авг;0.43;0.7;01.сен;0.464;22;67;0.9974;мар.13;янв.28;09.апр;5;0
07.апр;0.5;0.47;2;0.086;21;73;0.997;мар.36;0.57;09.янв;5;0
07.мар;0.67;0.26;01.авг;0.401;16;51;0.9969;мар.16;янв.14;09.апр;5;0
06.мар;0.3;0.48;01.авг;0.069;18;61;0.9959;мар.44;0.78;10.мар;6;1
06.сен;0.55;0.15;02.фев;0.076;19;40;0.9961;мар.41;0.59;10.янв;5;0
08.июн;0.49;0.28;01.сен;0.11;20;136;0.9972;фев.93;янв.95;09.сен;6;1
07.июл;0.49;0.26;01.сен;0.062;9;31;0.9966;мар.39;0.64;09.июн;5;0
09.мар;0.39;0.44;02.янв;0.107;34;125;0.9978;мар.14;янв.22;09.май;5;0
7;0.62;0.08;01.авг;0.076;8;24;0.9978;мар.48;0.53;9;5;0
07.сен;0.52;0.26;01.сен;0.079;42;140;0.9964;мар.23;0.54;09.май;5;0
08.июн;0.49;0.28;01.сен;0.11;20;136;0.9972;фев.93;янв.95;09.сен;6;1
08.июн;0.49;0.29;2;0.11;19;133;0.9972;фев.93;янв.98;09.авг;5;0
07.июл;0.49;0.26;01.сен;0.062;9;31;0.9966;мар.39;0.64;09.июн;5;0
5;01.фев;0.04;01.апр;0.045;41;85;0.9938;мар.75;0.48;10.май;4;0
04.июл;0.6;0.17;02.мар;0.058;17;106;0.9932;мар.85;0.6;12.сен;6;1
06.авг;0.775;0;3;0.102;8;23;0.9965;мар.45;0.56;10.июл;5;0
7;0.5;0.25;2;0.07;3;22;0.9963;мар.25;0.63;09.фев;5;0
07.июн;0.9;0.06;02.май;0.079;5;10;0.9967;мар.39;0.56;09.авг;5;0
08.янв;0.545;0.18;01.сен;0.08;13;35;0.9972;03.мар;0.59;9;6;1
08.мар;0.61;0.3;02.янв;0.084;11;50;0.9972;03.апр;0.61;10.фев;6;1
07.авг;0.5;0.3;01.сен;0.075;8;22;0.9959;мар.31;0.56;10.апр;6;1
08.янв;0.545;0.18;01.сен;0.08;13;35;0.9972;03.мар;0.59;9;6;1
08.янв;0.575;0.22;02.янв;0.077;12;65;0.9967;мар.29;0.51;09.фев;5;0
07.фев;0.49;0.24;02.фев;0.07;5;36;0.996;мар.33;0.48;09.апр;5;0
08.янв;0.575;0.22;02.янв;0.077;12;65;0.9967;мар.29;0.51;09.фев;5;0
07.авг;0.41;0.68;01.июл;0.467;18;69;0.9973;03.авг;янв.31;09.мар;5;0
06.фев;0.63;0.31;01.июл;0.088;15;64;0.9969;мар.46;0.79;09.мар;5;0
8;0.33;0.53;02.май;0.091;18;80;0.9976;мар.37;0.8;09.июн;6;1
08.янв;0.785;0.52;2;0.122;37;153;0.9969;мар.21;0.69;09.мар;5;0
07.авг;0.56;0.19;01.авг;0.104;12;47;0.9964;мар.19;0.93;09.май;5;0
08.апр;0.62;0.09;02.фев;0.084;11;108;0.9964;мар.15;0.66;09.авг;5;0
08.апр;0.6;0.1;02.фев;0.085;14;111;0.9964;мар.15;0.66;09.авг;5;0
10.янв;0.31;0.44;02.мар;0.08;22;46;0.9988;мар.32;0.67;09.июл;6;1
07.авг;0.56;0.19;01.авг;0.104;12;47;0.9964;мар.19;0.93;09.май;5;0
09.апр;0.4;0.31;02.фев;0.09;13;62;0.9966;03.июл;0.63;10.май;6;1
08.мар;0.54;0.28;01.сен;0.077;11;40;0.9978;мар.39;0.61;10;6;1
07.авг;0.56;0.12;2;0.082;7;28;0.997;мар.37;0.5;09.апр;6;1
08.авг;0.55;0.04;02.фев;0.119;14;56;0.9962;мар.21;0.6;10.сен;6;1
7;0.69;0.08;01.авг;0.097;22;89;0.9959;мар.34;0.54;09.фев;6;1
07.мар;01.июл;0.09;01.июл;0.178;10;89;0.9962;03.мар;0.57;9;5;0
08.авг;0.55;0.04;02.фев;0.119;14;56;0.9962;мар.21;0.6;10.сен;6;1
07.мар;0.695;0;02.май;0.075;3;13;0.998;мар.49;0.52;09.фев;5;0
8;0.71;0;02.июн;0.08;11;34;0.9976;мар.44;0.53;09.май;5;0
07.авг;0.5;0.17;01.июн;0.082;21;102;0.996;мар.39;0.48;09.май;5;0
9;0.62;0.04;01.сен;0.146;27;90;0.9984;мар.16;0.7;09.апр;5;0
08.фев;янв.33;0;01.июл;0.081;3;12;0.9964;мар.53;0.49;10.сен;5;0
08.янв;янв.33;0;01.авг;0.082;3;12;0.9964;мар.54;0.48;10.сен;5;0
8;0.59;0.16;01.авг;0.065;3;16;0.9962;мар.42;0.92;10.май;7;1
06.янв;0.38;0.15;01.авг;0.072;6;19;0.9955;мар.42;0.57;09.апр;5;0
8;0.745;0.56;2;0.118;30;134;0.9968;мар.24;0.66;09.апр;5;0
05.июн;0.5;0.09;02.мар;0.049;17;99;0.9937;мар.63;0.63;13;5;0
05.июн;0.5;0.09;02.мар;0.049;17;99;0.9937;мар.63;0.63;13;5;0
06.июн;0.5;0.01;01.май;0.06;17;26;0.9952;03.апр;0.58;09.авг;6;1
07.сен;01.апр;0.05;02.фев;0.084;13;29;0.9959;мар.22;0.55;09.сен;6;1
08.апр;0.745;0.11;01.сен;0.09;16;63;0.9965;мар.19;0.82;09.июн;5;0
08.мар;0.715;0.15;01.авг;0.089;10;52;0.9968;мар.23;0.77;09.май;5;0
07.фев;0.415;0.36;2;0.081;13;45;0.9972;мар.48;0.64;09.фев;5;0
07.авг;0.56;0.19;02.янв;0.081;15;105;0.9962;мар.33;0.54;09.май;5;0
07.авг;0.56;0.19;2;0.081;17;108;0.9962;мар.32;0.54;09.май;5;0
08.апр;0.745;0.11;01.сен;0.09;16;63;0.9965;мар.19;0.82;09.июн;5;0
08.мар;0.715;0.15;01.авг;0.089;10;52;0.9968;мар.23;0.77;09.май;5;0
05.фев;0.34;0;01.авг;0.05;27;63;0.9916;мар.68;0.79;14;6;1
06.мар;0.39;0.08;01.июл;0.066;3;20;0.9954;мар.34;0.58;09.апр;5;0
05.фев;0.34;0;01.авг;0.05;27;63;0.9916;мар.68;0.79;14;6;1
08.янв;0.67;0.55;01.авг;0.117;32;141;0.9968;мар.17;0.62;09.апр;5;0
05.авг;0.68;0.02;01.авг;0.087;21;94;0.9944;мар.54;0.52;10;5;0
07.июн;0.49;0.26;01.июн;0.236;10;88;0.9968;03.ноя;0.8;09.мар;5;0
06.сен;0.49;0.1;02.мар;0.074;12;30;0.9959;мар.42;0.58;10.фев;6;1
08.фев;0.4;0.44;02.авг;0.089;11;43;0.9975;мар.53;0.61;10.май;6;1
07.мар;0.33;0.47;02.янв;0.077;5;11;0.9958;мар.33;0.53;10.мар;6;1
09.фев;0.52;1;03.апр;0.61;32;69;0.9996;фев.74;2.0;09.апр;4;0
07.май;0.6;0.03;01.авг;0.095;25;99;0.995;мар.35;0.54;10.янв;5;0
07.май;0.6;0.03;01.авг;0.095;25;99;0.995;мар.35;0.54;10.янв;5;0
07.янв;0.43;0.42;05.май;0.07;29;129;0.9973;мар.42;0.72;10.май;5;0
07.янв;0.43;0.42;05.май;0.071;28;128;0.9973;мар.42;0.71;10.май;5;0
07.янв;0.43;0.42;05.май;0.07;29;129;0.9973;мар.42;0.72;10.май;5;0
07.янв;0.43;0.42;05.май;0.071;28;128;0.9973;мар.42;0.71;10.май;5;0
07.янв;0.68;0;02.фев;0.073;12;22;0.9969;мар.48;0.5;09.мар;5;0
06.авг;0.6;0.18;01.сен;0.079;18;86;0.9968;мар.59;0.57;09.мар;6;1
07.июн;0.95;0.03;2;0.09;7;20;0.9959;03.фев;0.56;09.июн;5;0
07.июн;0.68;0.02;01.мар;0.072;9;20;0.9965;мар.17;01.авг;09.фев;4;0
07.авг;0.53;0.04;01.июл;0.076;17;31;0.9964;мар.33;0.56;10;6;1
07.апр;0.6;0.26;07.мар;0.07;36;121;0.9982;мар.37;0.49;09.апр;5;0
07.мар;0.59;0.26;07.фев;0.07;35;121;0.9981;мар.37;0.49;09.апр;5;0
07.авг;0.63;0.48;01.июл;0.1;14;96;0.9961;мар.19;0.62;09.май;5;0
06.авг;0.64;0.1;02.янв;0.085;18;101;0.9956;мар.34;0.52;10.фев;5;0
07.мар;0.55;0.03;01.июн;0.072;17;42;0.9956;мар.37;0.48;9;4;0
06.авг;0.63;0.07;02.янв;0.089;11;44;0.9953;мар.47;0.55;10.апр;6;1
07.май;0.705;0.24;01.авг;0.36;15;63;0.9964;3;янв.59;09.май;5;0
07.сен;0.885;0.03;01.авг;0.058;4;8;0.9972;мар.36;0.33;09.янв;4;0
8;0.42;0.17;2;0.073;6;18;0.9972;мар.29;0.61;09.фев;6;1
8;0.42;0.17;2;0.073;6;18;0.9972;мар.29;0.61;09.фев;6;1
07.апр;0.62;0.05;01.сен;0.068;24;42;0.9961;мар.42;0.57;11.май;6;1
07.мар;0.38;0.21;2;0.08;7;35;0.9961;мар.33;0.47;09.май;5;0
06.сен;0.5;0.04;01.май;0.085;19;49;0.9958;мар.35;0.78;09.май;5;0
07.мар;0.38;0.21;2;0.08;7;35;0.9961;мар.33;0.47;09.май;5;0
07.май;0.52;0.42;02.мар;0.087;8;38;0.9972;мар.58;0.61;10.май;6;1
7;0.805;0;02.май;0.068;7;20;0.9969;мар.48;0.56;09.июн;5;0
08.авг;0.61;0.14;02.апр;0.067;10;42;0.9969;мар.19;0.59;09.май;5;0
08.авг;0.61;0.14;02.апр;0.067;10;42;0.9969;мар.19;0.59;09.май;5;0
08.сен;0.61;0.49;2;0.27;23;110;0.9972;03.дек;01.фев;09.мар;5;0
07.фев;0.73;0.02;02.май;0.076;16;42;0.9972;мар.44;0.52;09.мар;5;0
06.авг;0.61;0.2;01.авг;0.077;11;65;0.9971;мар.54;0.58;09.мар;5;0
06.июл;0.62;0.21;01.сен;0.079;8;62;0.997;мар.52;0.58;09.мар;6;1
08.сен;0.31;0.57;2;0.111;26;85;0.9971;мар.26;0.53;09.июл;5;0
07.апр;0.39;0.48;2;0.082;14;67;0.9972;мар.34;0.55;09.фев;5;0
07.июл;0.705;0.1;02.июн;0.084;9;26;0.9976;мар.39;0.49;09.июл;5;0
07.сен;0.5;0.33;2;0.084;15;143;0.9968;03.фев;0.55;09.май;5;0
07.сен;0.49;0.32;01.сен;0.082;17;144;0.9968;03.фев;0.55;09.май;5;0
08.фев;0.5;0.35;02.сен;0.077;21;127;0.9976;мар.23;0.62;09.апр;5;0
06.апр;0.37;0.25;01.сен;0.074;21;49;0.9974;мар.57;0.62;09.авг;6;1
06.авг;0.63;0.12;03.авг;0.099;16;126;0.9969;мар.28;0.61;09.май;5;0
07.июн;0.55;0.21;02.фев;0.071;7;28;0.9964;мар.28;0.55;09.июл;5;0
07.июн;0.55;0.21;02.фев;0.071;7;28;0.9964;мар.28;0.55;09.июл;5;0
07.авг;0.59;0.33;2;0.074;24;120;0.9968;мар.25;0.54;09.апр;5;0
07.мар;0.58;0.3;02.апр;0.074;15;55;0.9968;мар.46;0.59;10.фев;5;0
11.май;0.3;0.6;2;0.067;12;27;0.9981;03.ноя;0.97;10.янв;6;1
05.апр;0.835;0.08;01.фев;0.046;13;93;0.9924;мар.57;0.85;13;7;1
06.сен;01.сен;0.06;02.янв;0.061;12;31;0.9948;мар.51;0.43;11.апр;4;0
09.июн;0.32;0.47;01.апр;0.056;9;24;0.99695;мар.22;0.82;10.мар;7;1
08.авг;0.37;0.48;02.янв;0.097;39;145;0.9975;03.апр;01.мар;09.мар;5;0
06.авг;0.5;0.11;01.май;0.075;16;49;0.99545;мар.36;0.79;09.май;5;0
7;0.42;0.35;01.июн;0.088;16;39;0.9961;мар.34;0.55;09.фев;5;0
7;0.43;0.36;01.июн;0.089;14;37;0.99615;мар.34;0.56;09.фев;6;1
12.авг;0.3;0.74;02.июн;0.095;9;28;0.9994;03.фев;0.77;10.авг;7;1
12.авг;0.3;0.74;02.июн;0.095;9;28;0.9994;03.фев;0.77;10.авг;7;1
07.авг;0.57;0.31;01.авг;0.069;26;120;0.99625;мар.29;0.53;09.мар;5;0
07.авг;0.44;0.28;02.июл;0.1;18;95;0.9966;мар.22;0.67;09.апр;5;0
11;0.3;0.58;02.янв;0.054;7;19;0.998;мар.31;0.88;10.май;7;1
09.июл;0.53;0.6;2;0.039;5;19;0.99585;03.мар;0.86;12.апр;6;1
8;0.725;0.24;02.авг;0.083;10;62;0.99685;мар.35;0.56;10;6;1
11.июн;0.44;0.64;02.янв;0.059;5;15;0.998;мар.21;0.67;10.фев;6;1
08.фев;0.57;0.26;02.фев;0.06;28;65;0.9959;03.мар;0.43;10.янв;5;0
07.авг;0.735;0.08;02.апр;0.092;10;41;0.9974;мар.24;0.71;09.авг;6;1
7;0.49;0.49;05.июн;0.06;26;121;0.9974;мар.34;0.76;10.май;5;0
08.июл;0.625;0.16;2;0.101;13;49;0.9962;мар.14;0.57;11;5;0
08.янв;0.725;0.22;02.фев;0.072;11;41;0.9967;мар.36;0.55;09.янв;5;0
07.май;0.49;0.19;01.сен;0.076;10;44;0.9957;мар.39;0.54;09.июл;5;0
07.авг;0.53;0.33;02.апр;0.08;24;144;0.99655;03.мар;0.6;09.май;5;0
07.авг;0.34;0.37;2;0.082;24;58;0.9964;мар.34;0.59;09.апр;6;1
07.апр;0.53;0.26;2;0.101;16;72;0.9957;мар.15;0.57;09.апр;5;0
06.авг;0.61;0.04;01.май;0.057;5;10;0.99525;мар.42;0.6;09.май;5;0
08.июн;0.645;0.25;2;0.083;8;28;0.99815;мар.28;0.6;10;6;1
08.апр;0.635;0.36;2;0.089;15;55;0.99745;мар.31;0.57;10.апр;4;0
07.июл;0.43;0.25;02.июн;0.073;29;63;0.99615;мар.37;0.58;10.май;6;1
08.сен;0.59;0.5;2;0.337;27;81;0.9964;03.апр;янв.61;09.май;6;1
9;0.82;0.14;02.июн;0.089;9;23;0.9984;мар.39;0.63;09.авг;5;0
07.июл;0.43;0.25;02.июн;0.073;29;63;0.99615;мар.37;0.58;10.май;6;1
06.сен;0.52;0.25;02.июн;0.081;10;37;0.99685;мар.46;0.5;11;5;0
05.фев;0.48;0.04;01.июн;0.054;19;106;0.9927;мар.54;0.62;12.фев;7;1
8;0.38;0.06;01.авг;0.078;12;49;0.99625;мар.37;0.52;09.сен;6;1
08.май;0.37;0.2;02.авг;0.09;18;58;0.998;мар.34;0.7;09.июн;6;1
06.сен;0.52;0.25;02.июн;0.081;10;37;0.99685;мар.46;0.5;11;5;0
08.фев;1;0.09;02.мар;0.065;7;37;0.99685;мар.32;0.55;9;6;1
07.фев;0.63;0;01.сен;0.097;14;38;0.99675;мар.37;0.58;9;6;1
07.фев;0.63;0;01.сен;0.097;14;38;0.99675;мар.37;0.58;9;6;1
07.фев;0.645;0;01.сен;0.097;15;39;0.99675;мар.37;0.58;09.фев;6;1
07.фев;0.63;0;01.сен;0.097;14;38;0.99675;мар.37;0.58;9;6;1
08.фев;1;0.09;02.мар;0.065;7;37;0.99685;мар.32;0.55;9;6;1
08.сен;0.635;0.37;01.июл;0.263;5;62;0.9971;3;01.сен;09.мар;5;0
12;0.38;0.56;02.янв;0.093;6;24;0.99925;мар.14;0.71;10.сен;6;1
07.июл;0.58;0.1;01.авг;0.102;28;109;0.99565;03.авг;0.49;09.авг;6;1
15;0.21;0.44;02.фев;0.075;10;24;1.00005;03.июл;0.84;09.фев;7;1
15;0.21;0.44;02.фев;0.075;10;24;1.00005;03.июл;0.84;09.фев;7;1
07.мар;0.66;0;2;0.084;6;23;0.9983;мар.61;0.96;09.сен;6;1
07.янв;0.68;0.07;01.сен;0.075;16;51;0.99685;мар.38;0.52;09.май;5;0
08.фев;0.6;0.17;02.мар;0.072;11;73;0.9963;03.фев;0.45;09.мар;5;0
07.июл;0.53;0.06;01.июл;0.074;9;39;0.99615;мар.35;0.48;09.авг;6;1
07.мар;0.66;0;2;0.084;6;23;0.9983;мар.61;0.96;09.сен;6;1
10.авг;0.32;0.44;01.июн;0.063;16;37;0.9985;мар.22;0.78;10;6;1
07.янв;0.6;0;01.авг;0.074;16;34;0.9972;мар.47;0.7;09.сен;6;1
11.янв;0.35;0.48;03.янв;0.09;5;21;0.9986;мар.17;0.53;10.май;5;0
07.июл;0.775;0.42;01.сен;0.092;8;86;0.9959;мар.23;0.59;09.май;5;0
07.янв;0.6;0;01.авг;0.074;16;34;0.9972;мар.47;0.7;09.сен;6;1
8;0.57;0.23;03.фев;0.073;17;119;0.99675;мар.26;0.57;09.мар;5;0
09.апр;0.34;0.37;02.фев;0.075;5;13;0.998;мар.22;0.62;09.фев;5;0
06.июн;0.695;0;02.янв;0.075;12;56;0.9968;мар.49;0.67;09.фев;5;0
07.июл;0.41;0.76;01.авг;0.611;8;45;0.9968;03.июн;янв.26;09.апр;5;0
10;0.31;0.47;02.июн;0.085;14;33;0.99965;мар.36;0.8;10.май;7;1
07.сен;0.33;0.23;01.июл;0.077;18;45;0.99625;мар.29;0.65;09.мар;5;0
7;0.975;0.04;2;0.087;12;67;0.99565;мар.35;0.6;09.апр;4;0
8;0.52;0.03;01.июл;0.07;10;35;0.99575;мар.34;0.57;10;5;0
07.сен;0.37;0.23;01.авг;0.077;23;49;0.9963;мар.28;0.67;09.мар;5;0
12.май;0.56;0.49;02.апр;0.064;5;27;0.9999;03.авг;0.87;10.сен;5;0
11.авг;0.26;0.52;01.авг;0.071;6;10;0.9968;03.фев;0.72;10.фев;7;1
08.янв;0.87;0;03.мар;0.096;26;61;1.00025;03.июн;0.72;09.авг;4;0
07.сен;0.35;0.46;03.июн;0.078;15;37;0.9973;мар.35;0.86;12.авг;8;1
06.сен;0.54;0.04;3;0.077;7;27;0.9987;мар.69;0.91;09.апр;6;1
11.май;0.18;0.51;4;0.104;4;23;0.9996;мар.28;0.97;10.янв;6;1
07.сен;0.545;0.06;4;0.087;27;61;0.9965;мар.36;0.67;10.июл;6;1
11.май;0.18;0.51;4;0.104;4;23;0.9996;мар.28;0.97;10.янв;6;1
10.сен;0.37;0.58;4;0.071;17;65;0.99935;мар.22;0.78;10.янв;5;0
08.апр;0.715;0.2;02.апр;0.076;10;38;0.99735;мар.31;0.64;09.апр;5;0
07.май;0.65;0.18;7;0.088;27;94;0.99915;мар.38;0.77;09.апр;5;0
07.сен;0.545;0.06;4;0.087;27;61;0.9965;мар.36;0.67;10.июл;6;1
06.сен;0.54;0.04;3;0.077;7;27;0.9987;мар.69;0.91;09.апр;6;1
11.май;0.18;0.51;4;0.104;4;23;0.9996;мар.28;0.97;10.янв;6;1
10.мар;0.32;0.45;06.апр;0.073;5;13;0.9976;мар.23;0.82;12.июн;8;1
08.сен;0.4;0.32;05.июн;0.087;10;47;0.9991;мар.38;0.77;10.май;7;1
11.апр;0.26;0.44;03.июн;0.071;6;19;0.9986;03.дек;0.82;09.мар;6;1
07.июл;0.27;0.68;03.май;0.358;5;10;0.9972;мар.25;01.авг;09.сен;7;1
07.июн;0.52;0.12;3;0.067;12;53;0.9971;мар.36;0.57;09.янв;5;0
08.сен;0.4;0.32;05.июн;0.087;10;47;0.9991;мар.38;0.77;10.май;7;1
09.сен;0.59;0.07;03.апр;0.102;32;71;1.00015;мар.31;0.71;09.авг;5;0
09.сен;0.59;0.07;03.апр;0.102;32;71;1.00015;мар.31;0.71;09.авг;5;0
12;0.45;0.55;2;0.073;25;49;0.9997;03.янв;0.76;10.мар;6;1
07.май;0.4;0.12;3;0.092;29;53;0.9967;мар.37;0.7;10.мар;6;1
08.июл;0.52;0.09;02.май;0.091;20;49;0.9976;мар.34;0.86;10.июн;7;1
11.июн;0.42;0.53;03.мар;0.105;33;98;1.001;03.фев;0.95;09.фев;5;0
08.июл;0.52;0.09;02.май;0.091;20;49;0.9976;мар.34;0.86;10.июн;7;1
11;0.2;0.48;2;0.343;6;18;0.9979;03.мар;0.71;10.май;5;0
