fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;great
06.фев;0.35;0.03;01.фев;0.064;29;120;0.9934;мар.22;0.54;09.янв;5;0
06.апр;0.26;0.24;06.апр;0.04;27;124;0.9903;мар.22;0.49;12.июн;7;1
06.июл;0.25;0.13;01.фев;0.041;81;174;0.992;мар.14;0.42;09.авг;5;0
06.июл;0.23;0.31;02.янв;0.046;30;96;0.9926;мар.33;0.64;10.июл;8;1
07.апр;0.24;0.29;10.янв;0.05;21;105;0.9962;мар.13;0.35;09.май;5;0
06.фев;0.27;0.43;07.авг;0.056;48;244;0.9956;03.янв;0.51;9;6;1
06.авг;0.3;0.23;04.июн;0.061;50.5;238.5;0.9958;мар.32;0.6;09.май;5;0
6;0.27;0.28;04.авг;0.063;31;201;0.9964;мар.69;0.71;10;5;0
08.июн;0.23;0.46;1;0.054;9;72;0.9941;фев.95;0.49;09.янв;6;1
06.июл;0.23;0.31;02.янв;0.046;30;96;0.9926;мар.33;0.64;10.июл;8;1
07.апр;0.24;0.29;10.янв;0.05;21;105;0.9962;мар.13;0.35;09.май;5;0
07.янв;0.18;0.36;01.апр;0.043;31;87;0.9898;мар.26;0.37;12.июл;7;1
7;0.32;0.34;01.мар;0.042;20;69;0.9912;мар.31;0.65;12;7;1
07.апр;0.18;0.3;08.авг;0.064;26;103;0.9961;фев.94;0.56;09.мар;5;0
06.июл;0.54;0.28;05.апр;0.06;21;105;0.9949;мар.27;0.37;9;5;0
06.авг;0.22;0.31;01.апр;0.053;34;114;0.9929;мар.39;0.77;10.июн;6;1
07.янв;0.2;0.34;16;0.05;51;166;0.9985;мар.21;0.6;09.фев;6;1
07.янв;0.34;0.2;06.янв;0.063;47;164;0.9946;мар.17;0.42;10;5;0
07.мар;0.22;0.3;08.фев;0.047;42;207;0.9966;мар.33;0.46;09.май;6;1
07.янв;0.43;0.61;11.авг;0.045;54;155;0.9974;03.ноя;0.45;08.июл;5;0
07.янв;0.44;0.62;11.авг;0.044;52;152;0.9975;03.дек;0.46;08.июл;6;1
07.фев;0.39;0.63;11;0.044;55;156;0.9974;03.сен;0.44;08.июл;6;1
06.авг;0.25;0.31;13.мар;0.05;69;202;0.9972;мар.22;0.48;09.июл;6;1
07.янв;0.43;0.61;11.авг;0.045;54;155;0.9974;03.ноя;0.45;08.июл;5;0
07.янв;0.44;0.62;11.авг;0.044;52;152;0.9975;03.дек;0.46;08.июл;6;1
07.фев;0.39;0.63;11;0.044;55;156;0.9974;03.сен;0.44;08.июл;6;1
06.янв;0.27;0.43;07.май;0.049;65;243;0.9957;03.дек;0.47;9;5;0
06.сен;0.24;0.33;01.июл;0.035;47;136;0.99;мар.26;0.4;12.июн;7;1
06.сен;0.21;0.33;01.авг;0.034;48;136;0.9899;мар.25;0.41;12.июн;7;1
07.май;0.17;0.32;01.июл;0.04;51;148;0.9916;мар.21;0.44;11.май;7;1
07.янв;0.26;0.29;12.апр;0.044;62;240;0.9969;03.апр;0.42;09.фев;6;1
6;0.34;0.66;15.сен;0.046;26;164;0.9979;мар.14;0.5;08.авг;6;1
08.июн;0.265;0.36;01.фев;0.034;15;80;0.9913;фев.95;0.36;11.апр;7;1
09.авг;0.36;0.46;10.май;0.038;4;83;0.9956;фев.89;0.3;10.янв;4;0
6;0.34;0.66;15.сен;0.046;26;164;0.9979;мар.14;0.5;08.авг;6;1
07.апр;0.25;0.37;13.май;0.06;52;192;0.9975;3;0.44;09.янв;5;0
07.янв;0.12;0.32;09.июн;0.054;64;162;0.9962;03.апр;0.41;09.апр;5;0
6;0.21;0.24;12.янв;0.05;55;164;0.997;мар.34;0.39;09.апр;5;0
07.май;0.305;0.4;18.сен;0.059;44;170;1;фев.99;0.46;9;5;0
07.апр;0.25;0.37;13.май;0.06;52;192;0.9975;3;0.44;09.янв;5;0
07.мар;0.13;0.32;14.апр;0.051;34;109;0.9974;03.фев;0.35;09.фев;6;1
07.янв;0.12;0.32;09.июн;0.054;64;162;0.9962;03.апр;0.41;09.апр;5;0
07.янв;0.23;0.35;16.май;0.04;60;171;0.999;мар.16;0.59;09.янв;6;1
07.янв;0.23;0.35;16.май;0.04;60;171;0.999;мар.16;0.59;09.янв;6;1
06.сен;0.33;0.28;01.мар;0.051;37;187;0.9927;мар.27;0.6;10.мар;5;0
06.май;0.17;0.54;08.май;0.082;64;163;0.9959;фев.89;0.39;08.авг;6;1
07.фев;0.27;0.46;18.75;0.052;45;255;1;03.апр;0.52;08.сен;5;0
07.фев;0.31;0.5;13.мар;0.056;68;195;0.9982;03.янв;0.47;09.фев;5;0
06.июл;0.41;0.34;09.фев;0.049;29;150;0.9968;мар.22;0.51;09.янв;5;0
06.июл;0.41;0.34;09.фев;0.049;29;150;0.9968;мар.22;0.51;09.янв;5;0
05.май;0.485;0;01.май;0.065;8;103;0.994;мар.63;0.4;09.июл;4;0
6;0.31;0.24;03.мар;0.041;25;143;0.9914;мар.31;0.44;11.мар;6;1
7;0.14;0.4;01.июл;0.035;16;85;0.9911;мар.19;0.42;11.авг;6;1
07.фев;0.31;0.5;13.мар;0.056;68;195;0.9982;03.янв;0.47;09.фев;5;0
07.мар;0.32;0.48;13.мар;0.06;57;196;0.9982;03.апр;0.5;09.фев;5;0
05.сен;0.36;0.04;05.июл;0.046;21;87;0.9934;мар.22;0.51;10.фев;5;0
07.авг;0.24;0.32;12.фев;0.054;42;138;0.9984;03.янв;0.54;08.авг;5;0
07.апр;0.16;0.31;июн.85;0.059;31;131;0.9952;мар.29;0.34;09.июл;5;0
06.сен;0.19;0.28;5;0.058;14;146;0.9952;мар.29;0.36;09.янв;6;1
06.апр;0.13;0.47;01.июн;0.092;40;158;0.9928;мар.21;0.36;09.авг;6;1
06.июл;0.19;0.36;01.янв;0.026;63;143;0.9912;мар.27;0.48;11;6;1
07.апр;0.39;0.23;7;0.033;29;126;0.994;мар.14;0.42;10.май;5;0
06.май;0.24;0.32;07.июн;0.038;48;203;0.9958;мар.45;0.54;09.июл;7;1
06.янв;0.3;0.56;02.авг;0.044;47;179;0.9924;03.мар;0.57;10.сен;7;1
06.янв;0.3;0.56;02.июл;0.046;46;184;0.9924;мар.31;0.57;10.сен;6;1
05.июл;0.26;0.25;10.апр;0.02;7;57;0.994;мар.39;0.37;10.июн;5;0
06.май;0.24;0.32;07.июн;0.038;48;203;0.9958;мар.45;0.54;09.июл;7;1
06.май;0.425;0.4;13.янв;0.038;59;241;0.9979;мар.23;0.57;9;5;0
06.июн;0.24;0.27;15.авг;0.035;46;188;0.9982;мар.24;0.51;09.фев;5;0
06.авг;0.27;0.22;08.янв;0.034;55;203;0.9961;мар.19;0.52;08.сен;5;0
06.июл;0.27;0.31;15.июл;0.036;44;179;0.9979;мар.26;0.56;09.июн;5;0
08.фев;0.23;0.4;01.фев;0.027;36;121;0.992;03.дек;0.38;10.июл;6;1
07.янв;0.37;0.67;10.май;0.045;49;155;0.9975;мар.16;0.44;08.июл;5;0
06.авг;0.19;0.36;01.сен;0.035;30;96;0.9917;мар.15;0.54;10.авг;7;1
08.янв;0.28;0.39;01.сен;0.029;18;79;0.9923;мар.23;0.52;11.авг;6;1
06.мар;0.31;0.34;02.фев;0.045;20;77;0.9927;03.мар;0.43;10.фев;5;0
07.янв;0.37;0.67;10.май;0.045;49;155;0.9975;мар.16;0.44;08.июл;5;0
07.сен;0.21;0.4;01.фев;0.039;38;107;0.992;мар.21;0.54;10.авг;6;1
08.май;0.21;0.41;04.мар;0.036;24;99;0.9947;мар.18;0.53;09.июл;6;1
08.янв;0.2;0.4;2;0.037;19;87;0.9921;03.дек;0.54;11.фев;6;1
06.мар;0.255;0.37;01.янв;0.04;37;114;0.9905;3;0.39;10.сен;6;1
05.июн;0.16;0.27;01.апр;0.044;53;168;0.9918;мар.28;0.37;10.янв;6;1
06.апр;0.595;0.14;05.фев;0.058;15;97;0.9951;мар.38;0.36;9;4;0
06.мар;0.34;0.33;04.июн;0.034;19;80;0.9917;мар.38;0.58;12;7;1
06.сен;0.25;0.3;04.янв;0.054;23;116;0.994;фев.99;0.38;09.апр;6;1
07.сен;0.22;0.38;8;0.043;46;152;0.9934;03.дек;0.32;11.май;7;1
07.июн;0.18;0.46;10.фев;0.055;58;135;0.9968;мар.14;0.43;09.сен;6;1
06.сен;0.25;0.3;04.янв;0.054;23;116;0.994;фев.99;0.38;09.апр;6;1
07.фев;0.18;0.41;01.фев;0.048;41;97;0.9919;мар.14;0.45;10.апр;5;0
08.фев;0.23;0.4;07.май;0.049;12;76;0.9966;03.июн;0.84;09.июл;6;1
07.апр;0.24;0.42;14;0.066;48;198;0.9979;фев.89;0.42;08.сен;6;1
07.апр;0.24;0.42;14;0.066;48;198;0.9979;фев.89;0.42;08.сен;6;1
06.янв;0.32;0.24;01.май;0.036;38;124;0.9898;мар.29;0.42;12.апр;7;1
05.фев;0.44;0.04;01.апр;0.036;43;119;0.9894;мар.36;0.33;12.янв;8;1
05.фев;0.44;0.04;01.апр;0.036;43;119;0.9894;мар.36;0.33;12.янв;8;1
06.янв;0.32;0.24;01.май;0.036;38;124;0.9898;мар.29;0.42;12.апр;7;1
06.апр;0.22;0.56;14.май;0.055;27;159;0.998;фев.98;0.4;09.янв;5;0
06.мар;0.36;0.3;04.авг;0.049;14;85;0.9932;мар.28;0.39;10.июн;5;0
07.апр;0.24;0.42;14;0.066;48;198;0.9979;фев.89;0.42;08.сен;6;1
06.июл;0.24;0.35;13.янв;0.05;64;205;0.997;мар.15;0.5;09.май;5;0
7;0.23;0.36;13;0.051;72;177;0.9972;мар.16;0.49;09.авг;5;0
08.апр;0.27;0.46;08.июл;0.048;39;197;0.9974;мар.14;0.59;09.июн;6;1
06.июл;0.46;0.18;02.апр;0.034;25;98;0.9896;03.авг;0.44;12.июн;7;1
07.май;0.29;0.31;авг.95;0.055;20;151;0.9968;03.авг;0.54;09.мар;5;0
09.авг;0.42;0.48;сен.85;0.034;5;110;0.9958;фев.87;0.29;10;5;0
07.янв;0.3;0.46;01.май;0.066;29;133;0.9906;03.дек;0.54;12.июл;6;1
07.сен;0.19;0.45;01.май;0.045;17;96;0.9917;мар.13;0.39;11;6;1
07.июн;0.48;0.37;0.8;0.037;4;100;0.9902;03.мар;0.39;11.апр;4;0
06.мар;0.22;0.43;апр.55;0.038;31;130;0.9918;мар.35;0.33;11.май;7;1
07.май;0.27;0.31;17.июл;0.051;33;173;0.999;03.сен;0.64;10.фев;5;0
06.сен;0.23;0.4;07.май;0.04;50;151;0.9927;03.ноя;0.27;11.апр;6;1
07.фев;0.32;0.47;05.янв;0.044;19;65;0.991;03.мар;0.41;12.июн;4;0
05.сен;0.23;0.3;12.сен;0.054;57;170;0.9972;мар.28;0.39;09.апр;5;0
6;0.67;0.07;01.фев;0.06;9;108;0.9931;03.ноя;0.35;08.июл;4;0
06.апр;0.25;0.32;05.май;0.049;41;176;0.995;мар.19;0.68;09.фев;6;1
06.апр;0.33;0.31;05.май;0.048;42;173;0.9951;мар.19;0.66;09.мар;6;1
07.янв;0.34;0.15;01.фев;0.053;61;183;0.9936;03.сен;0.43;09.фев;5;0
06.авг;0.28;0.4;22;0.048;48;167;1.001;фев.93;0.5;08.июл;5;0
06.сен;0.27;0.4;14;0.05;64;227;0.9979;мар.18;0.58;09.июн;6;1
06.авг;0.26;0.56;11.сен;0.043;64;226;0.997;03.фев;0.63;09.мар;5;0
06.авг;0.29;0.56;11.сен;0.043;66;230;0.9972;03.фев;0.63;09.мар;5;0
06.июл;0.24;0.41;09.апр;0.04;49;166;0.9954;03.дек;0.61;09.сен;6;1
05.сен;0.3;0.23;04.фев;0.038;42;119;0.9924;мар.15;0.5;11;5;0
06.авг;0.53;0.35;03.авг;0.034;26;109;0.9906;мар.26;0.57;12.июл;8;1
06.май;0.28;0.28;08.май;0.047;54;210;0.9962;03.сен;0.54;08.сен;4;0
06.июн;0.28;0.28;08.май;0.052;55;211;0.9962;03.сен;0.55;08.сен;6;1
06.авг;0.28;0.4;22;0.048;48;167;1.001;фев.93;0.5;08.июл;5;0
06.авг;0.28;0.36;8;0.045;28;123;0.9928;03.фев;0.37;11.апр;6;1
06.июн;0.15;0.34;05.янв;0.055;34;125;0.9942;мар.36;0.42;09.июн;5;0
06.апр;0.29;0.44;03.июн;0.2;75;181;0.9942;03.фев;0.41;09.янв;5;0
06.апр;0.3;0.45;03.май;0.197;76;180;0.9942;03.фев;0.39;09.янв;6;1
06.апр;0.29;0.44;03.июн;0.197;75;183;0.9942;03.янв;0.38;09.янв;5;0
06.авг;0.26;0.24;07.авг;0.052;54;214;0.9961;мар.13;0.47;08.сен;5;0
07.янв;0.32;0.24;13.янв;0.05;52;204;0.998;03.янв;0.49;08.авг;5;0
06.авг;0.26;0.24;07.авг;0.052;54;214;0.9961;мар.13;0.47;08.сен;5;0
06.авг;0.27;0.26;16.янв;0.049;55;196;0.9984;мар.15;0.5;09.мар;5;0
07.янв;0.32;0.24;13.янв;0.05;52;204;0.998;03.янв;0.49;08.авг;5;0
06.сен;0.54;0.32;13.фев;0.05;53;236;0.9973;03.фев;0.5;09.июн;5;0
06.авг;0.26;0.34;13.сен;0.034;39;134;0.9949;мар.33;0.53;12;6;1
05.авг;0.28;0.35;02.мар;0.053;36;114;0.9924;мар.28;0.5;10.фев;4;0
06.апр;0.21;0.5;11.июн;0.042;45;153;0.9972;мар.15;0.43;08.авг;5;0
7;0.16;0.32;08.мар;0.045;38;126;0.9958;мар.21;0.34;09.фев;5;0
10.фев;0.44;0.88;06.фев;0.049;20;124;0.9968;фев.99;0.51;09.сен;4;0
06.авг;0.57;0.29;02.фев;0.04;15;77;0.9938;мар.32;0.74;10.фев;5;0
06.янв;0.4;0.31;0.9;0.048;23;170;0.993;мар.22;0.77;09.май;6;1
05.июн;0.245;0.25;09.июл;0.032;12;68;0.994;мар.31;0.34;10.май;5;0
06.авг;0.18;0.38;01.апр;0.038;35;111;0.9918;мар.32;0.59;11.фев;7;1
7;0.16;0.32;08.мар;0.045;38;126;0.9958;мар.21;0.34;09.фев;5;0
06.июл;0.13;0.29;05.мар;0.051;31;122;0.9944;мар.44;0.37;09.июл;6;1
06.фев;0.25;0.25;01.апр;0.03;35;105;0.9912;03.мар;0.44;11.янв;7;1
05.авг;0.26;0.24;09.фев;0.044;55;152;0.9961;мар.31;0.38;09.апр;5;0
07.май;0.27;0.36;7;0.036;45;164;0.9939;03.мар;0.33;11;5;0
05.авг;0.26;0.24;09.фев;0.044;55;152;0.9961;мар.31;0.38;09.апр;5;0
05.июл;0.28;0.24;17.май;0.044;60;167;0.9989;мар.31;0.44;09.апр;5;0
07.май;0.23;0.36;7;0.036;43;161;0.9938;03.апр;0.32;11;5;0
07.май;0.27;0.36;7;0.036;45;164;0.9939;03.мар;0.33;11;5;0
07.фев;0.685;0.21;09.май;0.07;33;172;0.9971;3;0.55;09.янв;6;1
06.фев;0.25;0.25;01.апр;0.03;35;105;0.9912;03.мар;0.44;11.янв;7;1
06.май;0.19;0.3;0.8;0.043;33;144;0.9936;мар.42;0.39;09.янв;6;1
06.мар;0.495;0.22;01.авг;0.046;31;140;0.9929;мар.39;0.54;10.апр;6;1
07.янв;0.24;0.41;17.авг;0.046;39;145;0.9998;мар.32;0.39;08.июл;5;0
06.апр;0.17;0.32;02.апр;0.048;41;200;0.9938;03.май;0.5;09.июл;6;1
07.янв;0.25;0.32;10.мар;0.041;66;272;0.9969;мар.17;0.52;09.янв;6;1
06.апр;0.17;0.32;02.апр;0.048;41;200;0.9938;03.май;0.5;09.июл;6;1
07.янв;0.24;0.41;17.авг;0.046;39;145;0.9998;мар.32;0.39;08.июл;5;0
06.авг;0.64;0.08;09.июл;0.062;26;142;0.9972;мар.37;0.46;08.сен;4;0
08.мар;0.28;0.4;07.авг;0.041;38;194;0.9976;мар.34;0.51;09.июн;6;1
08.фев;0.27;0.39;07.авг;0.039;49;208;0.9976;мар.31;0.51;09.май;6;1
07.фев;0.23;0.38;14.мар;0.058;55;194;0.9979;03.сен;0.44;9;6;1
07.фев;0.23;0.38;14.мар;0.058;55;194;0.9979;03.сен;0.44;9;6;1
07.фев;0.23;0.38;14.мар;0.058;55;194;0.9979;03.сен;0.44;9;6;1
07.фев;0.23;0.38;14.мар;0.058;55;194;0.9979;03.сен;0.44;9;6;1
06.авг;0.52;0.32;13.фев;0.044;54;221;0.9972;мар.27;0.5;09.июн;6;1
7;0.26;0.59;01.апр;0.037;40;120;0.9918;мар.34;0.41;11.янв;7;1
06.фев;0.25;0.21;15.55;0.039;28;159;0.9982;мар.48;0.64;09.июн;6;1
07.мар;0.32;0.23;13.июл;0.05;49;197;0.9985;03.фев;0.46;08.июл;5;0
07.июл;0.31;0.26;07.авг;0.031;23;90;0.9944;мар.13;0.5;10.апр;5;0
07.янв;0.21;0.37;02.апр;0.026;23;100;0.9903;мар.15;0.38;11.апр;7;1
06.авг;0.24;0.34;02.июл;0.047;64.5;218.5;0.9934;03.мар;0.58;09.июл;6;1
06.сен;0.4;0.56;11.фев;0.043;40;142;0.9975;мар.14;0.46;08.июл;5;0
06.янв;0.18;0.36;2;0.038;20;249.5;0.9923;мар.37;0.79;11.мар;6;1
06.авг;0.21;0.27;02.янв;0.03;26;139;0.99;мар.16;0.61;12.июн;7;1
05.авг;0.2;0.27;01.апр;0.031;12;77;0.9905;мар.25;0.36;10.сен;7;1
05.июн;0.19;0.26;01.апр;0.03;12;76;0.9905;мар.25;0.37;10.сен;7;1
06.янв;0.41;0.14;10.апр;0.037;18;119;0.996;мар.38;0.45;10;5;0
05.сен;0.21;0.28;04.июн;0.053;40;199;0.9964;мар.72;0.7;10;4;0
08.май;0.26;0.21;16.фев;0.074;41;197;0.998;03.фев;0.5;09.авг;3;0
06.сен;0.4;0.56;11.фев;0.043;40;142;0.9975;мар.14;0.46;08.июл;5;0
05.авг;0.24;0.44;03.май;0.029;5;109;0.9913;мар.53;0.43;11.июл;3;0
05.авг;0.24;0.39;01.май;0.054;37;158;0.9932;мар.21;0.52;09.мар;6;1
06.июл;0.26;0.39;01.янв;0.04;45;147;0.9935;мар.32;0.58;09.июн;8;1
06.мар;0.35;0.3;05.июл;0.035;8;97;0.9927;мар.27;0.41;11;7;1
06.мар;0.35;0.3;05.июл;0.035;8;97;0.9927;мар.27;0.41;11;7;1
06.апр;0.23;0.39;01.авг;0.032;23;118;0.9912;мар.32;0.5;11.авг;6;1
05.авг;0.36;0.38;0.9;0.037;3;75;0.9904;мар.28;0.34;11.апр;4;0
06.сен;0.115;0.35;05.апр;0.048;36;108;0.9939;мар.32;0.42;10.фев;6;1
06.сен;0.29;0.4;19.45;0.043;36;156;0.9996;фев.93;0.47;08.сен;5;0
06.сен;0.28;0.4;08.фев;0.036;15;95;0.9944;мар.17;0.33;10.фев;5;0
07.фев;0.29;0.4;13.июн;0.045;66;231;0.9977;03.авг;0.59;09.июн;6;1
06.фев;0.24;0.35;01.фев;0.038;22;167;0.9912;03.янв;0.48;10.июн;6;1
06.сен;0.29;0.4;19.45;0.043;36;156;0.9996;фев.93;0.47;08.сен;5;0
06.сен;0.32;0.26;08.мар;0.053;32;180;0.9965;мар.25;0.51;09.фев;6;1
05.мар;0.58;0.07;06.сен;0.043;34;149;0.9944;мар.34;0.57;09.июл;5;0
05.мар;0.585;0.07;07.янв;0.044;34;145;0.9945;мар.34;0.57;09.июл;6;1
05.апр;0.59;0.07;7;0.045;36;147;0.9944;мар.34;0.57;09.июл;6;1
06.сен;0.32;0.26;08.мар;0.053;32;180;0.9965;мар.25;0.51;09.фев;6;1
05.фев;0.6;0.07;7;0.044;33;147;0.9944;мар.33;0.58;09.июл;5;0
05.авг;0.25;0.26;13.янв;0.051;44;148;0.9972;мар.29;0.38;09.мар;5;0
06.июн;0.58;0.3;05.янв;0.057;30;123;0.9949;мар.24;0.38;9;5;0
7;0.29;0.54;10.июл;0.046;59;234;0.9966;03.май;0.61;09.май;5;0
06.июн;0.19;0.41;08.сен;0.046;51;169;0.9954;мар.14;0.57;09.авг;6;1
06.июл;0.2;0.41;09.янв;0.044;50;166;0.9954;мар.14;0.58;09.авг;6;1
07.июл;0.26;0.4;01.янв;0.042;9;60;0.9915;фев.89;0.5;10.июн;5;0
06.авг;0.32;0.34;01.фев;0.044;14;67;0.9919;03.май;0.47;10.июн;4;0
7;0.3;0.49;04.июл;0.036;17;105;0.9916;мар.26;0.68;12.апр;7;1
7;0.24;0.36;02.авг;0.034;22;112;0.99;мар.19;0.38;12.июн;8;1
06.янв;0.31;0.58;5;0.039;36;114;0.9909;03.мар;0.6;12.мар;8;1
06.авг;0.44;0.37;05.янв;0.047;46;201;0.9938;03.авг;0.65;10.май;4;0
06.июл;0.34;0.3;15.июн;0.054;51;196;0.9982;мар.19;0.49;09.мар;5;0
07.янв;0.35;0.24;15.апр;0.055;46;198;0.9988;03.дек;0.49;08.авг;5;0
07.мар;0.32;0.25;07.фев;0.056;47;180;0.9961;03.авг;0.47;08.авг;5;0
06.май;0.28;0.33;15.июл;0.053;51;190;0.9978;мар.22;0.51;09.июл;6;1
07.фев;0.23;0.39;14.фев;0.058;49;192;0.9979;фев.98;0.48;9;7;1
07.фев;0.23;0.39;14.фев;0.058;49;192;0.9979;фев.98;0.48;9;7;1
07.фев;0.23;0.39;14.фев;0.058;49;192;0.9979;фев.98;0.48;9;7;1
07.фев;0.23;0.39;14.фев;0.058;49;192;0.9979;фев.98;0.48;9;7;1
